Setup done!
t168627, T36.0000000000, u2.0000000000
t169627, T36.0000000000, u2.0000000000
t170627, T36.3333320617, u2.0000000000
t171627, T36.3333320617, u2.0000000000
t172627, T36.3333320617, u2.0000000000
t173627, T36.3333320617, u2.0000000000
t174627, T36.6666679382, u2.0000000000
t175627, T36.6666679382, u2.0000000000
t176627, T36.6666679382, u2.0000000000
t177627, T36.6666679382, u2.0000000000
t178627, T36.6666679382, u2.0000000000
t179627, T37.0000000000, u2.0000000000
t180627, T37.0000000000, u2.0000000000
t181627, T37.0000000000, u2.0000000000
t182627, T37.0000000000, u2.0000000000
t183627, T37.0000000000, u2.0000000000
t184627, T37.3333320617, u2.0000000000
t185627, T37.3333320617, u2.0000000000
t186627, T37.3333320617, u2.0000000000
t187627, T37.3333320617, u2.0000000000
t188627, T37.3333320617, u2.0000000000
t189627, T37.6666679382, u2.0000000000
t190627, T37.6666679382, u2.0000000000
t191627, T37.6666679382, u2.0000000000
t192627, T37.6666679382, u2.0000000000
t193627, T37.6666679382, u2.0000000000
t194627, T38.0000000000, u2.0000000000
t195627, T38.0000000000, u2.0000000000
t196627, T38.0000000000, u2.0000000000
t197627, T38.0000000000, u2.0000000000
t198627, T38.0000000000, u2.0000000000
t199627, T38.3333320617, u2.0000000000
t200627, T38.3333320617, u2.0000000000
t201627, T38.3333320617, u2.0000000000
t202627, T38.3333320617, u2.0000000000
t203627, T38.6666679382, u2.0000000000
t204627, T38.6666679382, u2.0000000000
t205627, T38.6666679382, u2.0000000000
t206627, T38.6666679382, u2.0000000000
t207627, T38.6666679382, u2.0000000000
t208627, T39.0000000000, u2.0000000000
t209627, T39.0000000000, u2.0000000000
t210627, T39.0000000000, u2.0000000000
t211627, T39.0000000000, u2.0000000000
t212627, T39.0000000000, u2.0000000000
t213627, T39.3333320617, u2.0000000000
t214627, T39.3333320617, u2.0000000000
t215627, T39.3333320617, u2.0000000000
t216627, T39.3333320617, u2.0000000000
t217627, T39.3333320617, u2.0000000000
t218627, T39.3333320617, u2.0000000000
t219627, T39.6666679382, u2.0000000000
t220627, T39.6666679382, u2.0000000000
t221627, T39.6666679382, u2.0000000000
t222627, T39.6666679382, u2.0000000000
t223627, T39.6666679382, u2.0000000000
t224627, T40.0000000000, u2.0000000000
t225627, T40.0000000000, u2.0000000000
t226627, T40.0000000000, u2.0000000000
t227627, T40.0000000000, u2.0000000000
t228627, T40.0000000000, u2.0000000000
t229627, T40.2500000000, u2.0000000000
t230627, T40.2500000000, u2.0000000000
t231627, T40.2500000000, u2.0000000000
t232627, T40.2500000000, u2.0000000000
t233627, T40.2500000000, u2.0000000000
t234627, T40.2500000000, u2.0000000000
t235627, T40.2500000000, u2.0000000000
t236627, T40.5000000000, u2.0000000000
t237627, T40.5000000000, u2.0000000000
t238627, T40.5000000000, u2.0000000000
t239627, T40.5000000000, u2.0000000000
t240627, T40.5000000000, u2.0000000000
t241627, T40.5000000000, u2.0000000000
t242627, T40.7500000000, u2.0000000000
t243627, T40.7500000000, u2.0000000000
t244627, T40.7500000000, u2.0000000000
t245627, T40.7500000000, u2.0000000000
t246627, T40.7500000000, u2.0000000000
t247627, T40.7500000000, u2.0000000000
t248627, T40.7500000000, u2.0000000000
t249627, T41.0000000000, u2.0000000000
t250627, T41.0000000000, u2.0000000000
t251627, T41.0000000000, u2.0000000000
t252627, T41.0000000000, u2.0000000000
t253627, T41.0000000000, u2.0000000000
t254627, T41.0000000000, u2.0000000000
t255627, T41.2500000000, u2.0000000000
t256627, T41.2500000000, u2.0000000000
t257627, T41.2500000000, u2.0000000000
t258627, T41.2500000000, u2.0000000000
t259627, T41.2500000000, u2.0000000000
t260627, T41.2500000000, u2.0000000000
t261627, T41.2500000000, u2.0000000000
t262627, T41.5000000000, u2.0000000000
t263627, T41.5000000000, u2.0000000000
t264627, T41.5000000000, u2.0000000000
t265627, T41.5000000000, u2.0000000000
t266627, T41.5000000000, u2.0000000000
t267627, T41.5000000000, u2.0000000000
t268627, T41.7500000000, u2.0000000000
t269627, T41.7500000000, u2.0000000000
t270627, T41.7500000000, u2.0000000000
t271627, T41.7500000000, u2.0000000000
t272627, T41.7500000000, u2.0000000000
t273627, T41.7500000000, u2.0000000000
t274627, T41.7500000000, u2.0000000000
t275627, T41.7500000000, u2.0000000000
t276627, T42.0000000000, u2.0000000000
t277627, T42.0000000000, u2.0000000000
t278627, T42.0000000000, u2.0000000000
t279627, T42.0000000000, u2.0000000000
t280627, T42.0000000000, u2.0000000000
t281627, T42.0000000000, u2.0000000000
t282627, T42.0000000000, u2.0000000000
t283627, T42.0000000000, u2.0000000000
t284627, T42.0000000000, u2.0000000000
t285627, T42.2500000000, u2.0000000000
t286627, T42.2500000000, u2.0000000000
t287627, T42.2500000000, u2.0000000000
t288627, T42.2500000000, u2.0000000000
